u_id,year,month,total_interactions,monthly_spend,avg_ticket_size
43b7a3a6,2026,1,130,154893.31000000006,1191.4870000000005
f143262f,2026,1,304,656878.2399999978,2160.783684210519
47378190,2026,1,308,602237.8600000005,1955.3177272727287
aefcfad8,2026,1,285,674961.5100000004,2368.2860000000014
080aadfb,2026,1,224,329138.24000000017,1469.3671428571436
451b4cf3,2026,1,270,371000.51999999967,1374.0759999999989
03c72ba8,2026,1,324,462978.89999999973,1428.9472222222214
972a8469,2026,1,231,467653.5599999999,2024.474285714285
98ae4334,2026,1,550,722460.4200000032,1313.564400000006
7394988f,2026,1,252,601256.4600000009,2385.9383333333367
a013ac6e,2026,1,465,984887.2500000008,2118.037096774195
f8cda88b,2026,1,221,393667.6399999988,1781.301538461533
1a2a73ed,2026,1,138,272158.6199999997,1972.1639130434762
23b8c1e9,2026,1,280,502376.28000000055,1794.201000000002
1825bc54,2026,1,170,202561.00000000012,1191.5352941176477
fc377a4c,2026,1,176,174851.68000000025,993.475454545456
a9488d99,2026,1,357,476218.46999999904,1333.9452941176444
9b49bd26,2026,1,216,433563.5999999996,2007.2388888888872
7c441fe7,2026,1,361,341182.8099999993,945.1047368421033
a6f2f7b8,2026,1,342,539384.2199999994,1577.1468421052614
db20a56e,2026,1,195,252548.25000000015,1295.1192307692315
f4188f3f,2026,1,462,958084.8199999995,2073.7766666666657
5ab33edf,2026,1,160,205566.40000000034,1284.7900000000022
bd9c66b3,2026,1,322,441249.62000000017,1370.3404347826092
e2acf72f,2026,1,280,297503.2200000004,1062.5115000000014
6c307511,2026,1,225,403156.04999999976,1791.8046666666655
7914c120,2026,1,168,255119.8800000002,1518.5707142857154
5cec4eb5,2026,1,196,92868.72000000013,473.8200000000007
81f631d4,2026,1,210,329235.7499999999,1567.7892857142851
a748dbcf,2026,1,204,377065.07999999967,1848.358235294116
7e570ddf,2026,1,180,319464.4500000006,1774.8025000000032
885f6e66,2026,1,288,393988.6400000007,1368.0161111111136
e27a984d,2026,1,272,401953.09999999934,1477.7687499999975
c241330b,2026,1,187,232975.5999999998,1245.8588235294108
a8e56e0c,2026,1,390,643630.52,1650.3346666666666
c0398710,2026,1,210,499675.4999999996,2379.407142857141
ec1b8ca1,2026,1,504,353880.8699999983,702.1445833333299
dd2467ac,2026,1,247,323453.3900000002,1309.5278947368429
310c0c00,2026,1,117,197938.90999999983,1691.785555555554
dc713d96,2026,1,378,495477.1500000012,1310.7861111111142
0f844fef,2026,1,480,632281.2000000007,1317.2525000000014
93829b43,2026,1,136,212629.4399999997,1563.4517647058801
a28defe3,2026,1,240,503804.4799999993,2099.18533333333
edcd465e,2026,1,352,621952.0000000007,1766.9090909090928
3eabedcb,2026,1,256,474980.8000000004,1855.3937500000015
b02b61c4,2026,1,170,409631.8299999993,2409.598999999996
287d06ca,2026,1,342,709123.3199999986,2073.459999999996
ce177b4e,2026,1,220,340340.9900000002,1547.004500000001
bdd640fb,2026,1,567,1043478.9900000003,1840.350952380953
956269f0,2026,1,255,368809.55999999994,1446.3119999999997
ab9099a4,2026,1,340,688123.6199999998,2023.8929999999993
4b0dbb41,2026,1,165,282339.19999999995,1711.1466666666663
5715bd6f,2026,1,128,190511.2000000001,1488.3687500000008
ff50bde4,2026,1,255,513222.68999999843,2012.6379999999938
134c6c92,2026,1,504,1110110.880000002,2202.600952380956
66245bfa,2026,1,154,154077.87999999966,1000.5057142857121
7412b293,2026,1,384,769613.5200000015,2004.201875000004
28f49481,2026,1,320,432043.79999999993,1350.1368749999997
371ecd7b,2026,1,220,363759.76999999944,1653.4534999999973
5f987c71,2026,1,300,346869.7499999986,1156.2324999999953
29a3b2e9,2026,1,160,182210.6000000002,1138.8162500000012
d0e6e660,2026,1,414,1085559.9799999993,2622.125555555554
759cde66,2026,1,238,461292.29999999993,1938.2029411764704
9132b63e,2026,1,500,712222.0000000024,1424.444000000005
1d53434b,2026,1,294,48161.400000000045,163.81428571428586
ce88cb2d,2026,1,380,706275.6000000002,1858.6200000000006
10f1bc81,2026,1,156,263043.6900000005,1686.1775000000034
01d74256,2026,1,340,325937.39999999857,958.6394117647017
6b65a6a4,2026,1,234,471985.67000000086,2017.0327777777813
bf3c4c06,2026,1,247,452637.5700000003,1832.5407692307704
