u_id,year,month,total_interactions,monthly_spend,avg_ticket_size
451b4cf3,2026,1,1872,3483323.609999988,1860.7497916666605
080aadfb,2026,1,1950,1894244.8199999756,971.4075999999875
43b7a3a6,2026,1,1748,2640786.860000016,1510.7476315789565
47378190,2026,1,1672,3924478.7999999896,2347.1763157894675
f143262f,2026,1,1656,2843420.039999984,1717.0410869565121
aefcfad8,2026,1,1092,1780108.459999992,1630.1359523809451
972a8469,2026,1,1650,3456082.5000000256,2094.59545454547
23b8c1e9,2026,1,1530,2340234.899999997,1529.5652941176452
98ae4334,2026,1,2295,3779006.3999999585,1646.625882352923
fc377a4c,2026,1,1692,2276145.360000005,1345.239574468088
1825bc54,2026,1,1720,4610116.80000003,2680.3004651162964
a013ac6e,2026,1,1260,2781314.900000044,2207.3927777778126
7394988f,2026,1,1368,3513474.300000046,2568.3291666667
1a2a73ed,2026,1,1974,3843886.53999997,1947.2576190476038
03c72ba8,2026,1,1938,3163073.550000015,1632.13289473685
f8cda88b,2026,1,2451,4568361.330000014,1863.8765116279128
9b49bd26,2026,1,1200,2640723.299999986,2200.602749999988
a6f2f7b8,2026,1,2420,5035423.250000003,2080.7534090909103
a9488d99,2026,1,1344,2451809.6000000206,1824.2630952381105
5ab33edf,2026,1,1750,3119581.500000018,1782.6180000000104
7c441fe7,2026,1,1184,2425165.3700000006,2048.2815625000003
db20a56e,2026,1,1560,2049640.4000000479,1313.8720512820819
f4188f3f,2026,1,2112,4528177.280000023,2144.023333333344
7e570ddf,2026,1,2068,4128098.4799999623,1996.179148936152
5cec4eb5,2026,1,1080,2131106.0000000168,1973.2462962963118
bd9c66b3,2026,1,1400,1986523.2000000095,1418.9451428571497
81f631d4,2026,1,2000,3430746.0000000233,1715.3730000000116
7914c120,2026,1,980,1312611.2999999996,1339.3992857142853
e2acf72f,2026,1,1332,1904843.8800000174,1430.062972972986
6c307511,2026,1,2400,5999222.999999969,2499.6762499999872
885f6e66,2026,1,1600,2559502.4000000143,1599.689000000009
a748dbcf,2026,1,1462,2573805.849999969,1760.4691176470376
310c0c00,2026,1,1404,2695583.87999999,1919.9315384615313
dc713d96,2026,1,1890,1619550.2399999916,856.9048888888844
a8e56e0c,2026,1,1763,2789911.0100000245,1582.4793023255952
e27a984d,2026,1,2107,3100325.550000008,1471.4406976744224
c0398710,2026,1,1482,2219576.009999966,1497.6896153845923
dd2467ac,2026,1,1960,4016539.999999977,2049.2551020408046
c241330b,2026,1,1408,2585056.0000000037,1835.9772727272755
ec1b8ca1,2026,1,1554,2664598.8600000055,1714.6710810810846
3eabedcb,2026,1,1620,2456221.4999999823,1516.1861111111002
b02b61c4,2026,1,925,1046335.9499999987,1131.1739999999986
93829b43,2026,1,1440,2563995.5999999954,1780.5524999999968
a28defe3,2026,1,2088,3979474.5600000485,1905.8786206896784
0f844fef,2026,1,1806,2935336.7400000156,1625.324883720939
edcd465e,2026,1,918,1529645.3799999892,1666.2803703703585
287d06ca,2026,1,1800,3200524.5,1778.0691666666667
5715bd6f,2026,1,1978,3723105.979999994,1882.2578260869534
ff50bde4,2026,1,2021,3585909.6500000064,1774.3244186046543
956269f0,2026,1,1836,3074018.3699999647,1674.3019444444253
4b0dbb41,2026,1,1794,2664978.8100000443,1485.4954347826333
bdd640fb,2026,1,1372,2328944.7999999956,1697.481632653058
ab9099a4,2026,1,1406,2188352.7400000026,1556.4386486486505
ce177b4e,2026,1,1443,2851731.709999994,1976.252051282047
66245bfa,2026,1,1786,2235533.8499999875,1251.6986842105193
134c6c92,2026,1,1716,3114435.4799999907,1814.9390909090855
7412b293,2026,1,1645,2633031.1799999857,1600.6268571428484
28f49481,2026,1,1728,1927355.0399999882,1115.3674999999932
29a3b2e9,2026,1,1240,1881521.7500000037,1517.356250000003
9132b63e,2026,1,2156,4889826.920000031,2268.008775510218
d0e6e660,2026,1,1845,3317751.9000000395,1798.2395121951433
1d53434b,2026,1,2650,4992895.210000005,1884.1114000000018
ce88cb2d,2026,1,1485,3302372.6999999997,2223.8199999999997
759cde66,2026,1,1404,2312557.1999999844,1647.1205128205017
371ecd7b,2026,1,1428,2285876.1000000094,1600.753571428578
